collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition,Product
Cobra,ca46,75829.5,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Blooms Cotton Blend,34921531,75037,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Plains one + 1,131953,71677.16,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Jungle,jua324,70358.6,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52796,69118.21,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Blooms Cotton Blend,34920817,68553.51,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Oxide,Y47001,68431.1,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52993,68239.96,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca41,67441.39,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52826,66866,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua211,66791,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa301,66732,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52944,66155.4,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52842,65408.64,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca61,65159.12,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47169,62575.35,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
NOX Vinyl,GD-5121,61343.31,Oak,,,,Vinyl Flooring,Oak,European Oak Brown ,,,,Flooring
Chimes,AZ52989,61331.47,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca15,60997.46,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
City Star,CS04 ORANGE,60939.46,Stripes,Solution Dyed,Multi Level Loop,PVC Free,,,,,,,Carpet
City Glaze,CG05 DUSKY,60328.01,Geometric,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Remix,AZ52834,59287.5,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Fraser II,FR4804 PISTACHIO,59221.4,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Color Cube,CC08 CHERRY,59183.55,Solid,Solution Dyed,Twisted Cut Pile,PVC,,,,,,,Carpet
Nashira,nai5610,59073.52,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52995,59053.61,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Fraser II,FR4802 URBAN GREY,59012.54,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Safari,Y47167,58981,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52848,58617.94,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua233,58060.26,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha3609,57405,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai2802,54493,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Cabana,CB01 STONE,53814.02,Geometric,Solution Dyed,Level Loop,PVC,,,,,,,Carpet
Chimes,AZ52982,53364.95,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Marble,Y46983,52634.75,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua334,52014.97,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua225,51758.82,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai2801,51420.3,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
